RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
八連溪,"5",,
嘉寶溪,"5",,
,"5",,
塭子川,"5",,
塭子川,"5",,
塭子川,"5",,
塭子川,"5",,
塭子川,"5",,
塭子川,"5",,
北勢坑,"5",,
壟鉤坑,"5",,
壟鉤坑,"5",,
壟鉤坑,"5",,
壟鉤坑,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
