ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
293,新北DF042,5.78,292587,2771181,北縣DF042
294,新北DF038,25.76,291898,2770507,北縣DF038
295,新北DF039,7.24,292043,2770777,北縣DF039
296,新北DF040,7.4,292094,2770913,北縣DF040
297,新北DF229,45.96,306422,2753327,新北F104-6
298,新北DF230,42.07,306725,2752781,新北F104-1
299,新北DF103,290.95,301782,2747907,北縣DF103
300,新北DF231,393.56,301900,2748967,新北F104-2
301,新北DF104,177.05,300264,2744767,北縣DF104
302,新北DF105,280.47,299384,2739882,北縣DF105
303,新北DF151,57.12,342002,2777877,北縣DF151
304,新北DF152,26.89,340903,2775833,北縣DF152
305,新北DF156,48.19,349278,2767028,北縣DF156
306,新北DF157,83.6,348870,2767646,北縣DF157
307,新北DF154,32.03,345354,2766462,北縣DF154
308,新北DF155,14.05,347793,2768232,北縣DF155
309,新北DF153,27.78,342719,2766817,北縣DF153
310,新北DF008,27.84,297543,2783120,北縣DF008
311,新北DF007,627.52,301225,2786023,北縣DF007
312,新北DF009,38.51,299908,2784319,北縣DF009
313,新北DF010,79,298928,2784551,北縣DF010
314,新北DF109,28.63,314359,2767696,北縣DF109
315,新北DF110,31.91,313909,2767675,北縣DF110
316,新北DF108,12.56,313705,2766008,北縣DF108
317,新北DF107,12.2,312264,2766687,北縣DF107
318,新北DF106,6.68,312101,2766592,北縣DF106
319,新北DF111,79.02,313552,2767571,北縣DF111
320,新北DF219,22,305172,2761306,北縣DF219
321,新北DF084,22.46,297475,2760568,北縣DF084
322,新北DF085,116.49,298281,2761154,北縣DF085
323,新北DF093,149.28,306456,2756622,北縣DF093
324,新北DF094,11.75,305859,2757158,北縣DF094
325,新北DF228,7.08,305723,2756899,新北F104-3
326,新北DF102,16.34,305893,2759969,北縣DF102
327,新北DF101,10.51,306157,2761448,北縣DF101
328,新北DF098,42.71,308136,2761743,北縣DF098
329,新北DF099,45.21,307153,2761372,北縣DF099
330,新北DF100,11.34,306627,2760362,北縣DF100
331,新北DF095,132.8,307652,2758418,北縣DF095
332,新北DF089,43.44,302332,2759320,北縣DF089
333,新北DF090,72.85,302568,2758739,北縣DF090
334,新北DF091,44.32,303257,2755089,北縣DF091
335,新北DF224,251.1,302751,2756015,新北F104-14
336,新北DF225,258.32,299406,2751612,新北F104-19
337,新北DF226,32.38,301328,2752717,新北F104-10
338,新北DF227,26.36,302876,2753373,新北F104-9
339,新北DF234,261.88,298770,2752945,新北F106-6
340,新北DF088,91.47,301057,2759809,北縣DF088
341,新北DF092,357.35,307685,2753730,北縣DF092
342,新北DF096,271.58,309669,2758790,北縣DF096
343,新北DF097,10.26,311250,2761432,北縣DF097
344,新北DF233,14.68,308223,2759862,新北F105-2
345,新北DF086,17.98,299201,2760849,北縣DF086
346,新北DF087,201.52,299531,2758101,北縣DF087
347,新北DF043,3.69,290933,2769938,北縣DF043
348,新北DF044,19.62,290555,2769875,北縣DF044
349,新北DF045,21.2,291036,2769534,北縣DF045
350,新北DF046,12.32,291486,2770267,北縣DF046
351,新北DF047,13.05,291209,2770451,北縣DF047
352,新北DF048,8.64,290514,2769416,北縣DF048
353,新北DF049,7.42,290279,2768958,北縣DF049
354,新北DF050,12.67,290694,2768848,北縣DF050
355,新北DF051,15.24,289944,2769026,北縣DF051
356,新北DF162,180.34,327233,2775804,北縣DF162
357,新北DF173,47.01,334512,2775526,北縣DF173
358,新北DF174,168.13,335021,2776300,北縣DF174
359,新北DF175,54.44,334670,2777084,北縣DF175
360,新北DF165,8.46,332918,2775311,北縣DF165
361,新北DF166,4.65,333347,2775986,北縣DF166
362,新北DF167,4.78,333516,2776181,北縣DF167
363,新北DF160,15.31,331051,2777220,北縣DF160
364,新北DF182,42.1,339254,2778796,北縣DF182
365,新北DF161,42.53,329790,2776065,北縣DF161
366,新北DF168,4.81,333546,2774924,北縣DF168
367,新北DF169,50.86,333852,2774775,北縣DF169
368,新北DF170,32.6,334130,2775045,北縣DF170
369,新北DF171,9.29,333963,2775554,北縣DF171
370,新北DF172,8.43,334105,2775630,北縣DF172
371,新北DF177,75.61,335880,2777783,北縣DF177、新北F106-7
372,新北DF159,6.98,332249,2777053,北縣DF159
373,新北DF158,3.61,332355,2779054,北縣DF158
374,新北DF163,8.89,332883,2772220,北縣DF163
375,新北DF164,8.44,333165,2772362,北縣DF164
376,新北DF176,10.14,335004,2777538,北縣DF176
377,新北DF178,110.67,337084,2777569,北縣DF178
378,新北DF179,8.63,337362,2778958,北縣DF179
379,新北DF180,11.3,337537,2779090,北縣DF180
380,新北DF181,68.84,337707,2778542,北縣DF181
381,新北DF210,9.52,315662,2788592,北縣DF210
382,新北DF200,17.61,317525,2785124,北縣DF200
383,新北DF201,48.61,318074,2783746,北縣DF201
384,新北DF202,63.31,318139,2785548,北縣DF202
385,新北DF203,11.77,319157,2784791,北縣DF203
386,新北DF206,22.38,318048,2787742,北縣DF206
387,新北DF207,50.3,317369,2787234,北縣DF207
388,新北DF208,11.69,316829,2787498,北縣DF208
389,新北DF209,62.9,316601,2787176,北縣DF209
390,新北DF199,21.62,314207,2782188,北縣DF199
391,新北DF204,103.49,317857,2786456,北縣DF204
392,新北DF205,31.42,318124,2786858,北縣DF205
393,新北DF056,17.64,290911,2767057,北縣DF056
